"Sr No","State","University Name"
"4","Delhi","Mountain Institute of Management & Technology, 109, Madhuban Building, Krati Communications, 55, Nehru Place, New Delhi – 110019"
"5","Delhi","World Peace of United Nations University (WPUNU), No.-201, 2st Floor, Best Business Park, Netaji Subhash Place, Pitampura, New Delhi-110034"
"6","Delhi","Institute of Management and Engineering, 1810/4, Ist Floor, Kotla Mubarakpur"
"7","Delhi","National Institute of Management Solution,   B-1/1, Janakpuri"
"8","Delhi","All India Institute of Public & Physical Health Sciences (AIIPHS) State Government University, Office Kh. No. 608-609, 1st Floor, Sant Kripal Singh Public Trust Building, Near BDO Office, Alipur, Delhi-110036"
"9","Delhi","Commercial University Ltd., Daryaganj, Delhi."
"10","Delhi","United Nations University, Delhi"
"11","Delhi","Vocational University, Delhi"
"12","Delhi","ADR-Centric Juridical University, ADR House, 8J, Gopala Tower, 25 Rajendra Place, New Delhi - 110 008"
"13","Delhi","Indian Institute of Science and Engineering, New Delhi"
"14","Delhi","Viswakarma Open University for Self-Employment, Rozgar Sewasadan, 672, Sanjay Enclave, Opp. GTK Depot, Delhi-110033"
"15","Delhi","Adhyatmik Vishwavidyalaya (Spiritual University), 351-352, Phase-I, Block-A, Vijay Vihar, Rithala, Rohini, Delhi-110085"
