course_id,course_title,subject_area,difficulty_level,duration_weeks,instructor_rating,course_format,has_assignments,has_quizzes,has_discussion_forum,certificate_offered
course_000,Economics 324,Art,Advanced,12,5.0,Interactive,True,True,True,False
course_001,History 563,Physics,Beginner,15,3.7,Video,False,True,True,True
course_002,History 244,English,Intermediate,5,4.6,Mixed,True,True,True,False
course_003,Computer Science 549,Physics,Intermediate,4,4.8,Interactive,True,True,True,True
course_004,Chemistry 574,English,Intermediate,9,3.6,Text-based,True,True,False,False
course_005,Chemistry 227,Chemistry,Advanced,15,4.7,Interactive,True,True,True,True
course_006,Chemistry 426,Biology,Advanced,10,3.8,Mixed,True,False,False,False
course_007,Psychology 402,History,Intermediate,6,3.9,Video,True,True,True,True
course_008,Physics 267,Computer Science,Advanced,10,4.0,Mixed,True,True,False,False
course_009,Economics 483,Physics,Intermediate,14,4.3,Video,False,True,False,True
course_010,History 135,Music,Advanced,13,5.0,Video,False,True,True,False
course_011,Psychology 251,Computer Science,Advanced,4,4.7,Video,True,True,True,True
course_012,Biology 342,History,Beginner,11,4.8,Interactive,True,True,True,True
course_013,Biology 474,Chemistry,Advanced,12,3.8,Video,True,True,True,True
course_014,English 387,Economics,Advanced,10,4.0,Mixed,False,True,True,True
course_015,Language Learning 404,Mathematics,Beginner,13,3.9,Video,True,True,True,True
course_016,Biology 121,Psychology,Advanced,15,3.9,Mixed,True,True,False,True
course_017,Art 529,Biology,Beginner,13,3.9,Video,True,True,True,True
course_018,Art 471,English,Advanced,11,3.7,Video,True,True,False,True
course_019,Art 558,Computer Science,Beginner,7,4.9,Interactive,True,True,False,True
course_020,Psychology 531,English,Intermediate,7,4.3,Interactive,True,True,False,True
course_021,History 194,Art,Advanced,6,3.9,Video,True,False,False,False
course_022,History 133,History,Intermediate,8,3.8,Video,True,True,False,True
course_023,Economics 267,Biology,Intermediate,4,3.6,Mixed,False,True,True,False
course_024,Chemistry 308,Chemistry,Intermediate,13,3.6,Interactive,False,True,True,True
course_025,Art 188,Chemistry,Intermediate,6,4.7,Video,False,True,True,True
course_026,English 142,Art,Beginner,7,3.9,Text-based,True,True,True,True
course_027,Mathematics 573,Physics,Intermediate,12,4.6,Mixed,True,False,False,True
course_028,Language Learning 563,Physics,Beginner,15,3.5,Interactive,True,True,False,True
course_029,Physics 531,Biology,Intermediate,14,4.5,Video,False,True,True,False
course_030,History 365,Language Learning,Beginner,6,4.5,Interactive,True,False,False,True
course_031,Psychology 476,History,Intermediate,6,4.6,Video,False,True,True,False
course_032,Psychology 590,Physics,Intermediate,14,4.5,Mixed,True,True,True,True
course_033,Economics 233,Art,Beginner,11,3.9,Mixed,False,True,True,True
course_034,Economics 125,Biology,Beginner,14,4.1,Video,True,True,False,True
course_035,Art 285,History,Intermediate,15,3.9,Mixed,True,True,True,True
course_036,Music 514,Language Learning,Intermediate,14,4.3,Interactive,True,False,False,True
course_037,Economics 284,Computer Science,Intermediate,13,4.9,Text-based,True,False,True,False
course_038,History 448,Economics,Beginner,14,4.1,Text-based,True,False,True,False
course_039,Economics 371,Computer Science,Intermediate,9,4.8,Mixed,True,True,False,True
course_040,English 420,Economics,Intermediate,7,4.9,Interactive,True,True,True,True
course_041,English 281,Biology,Beginner,7,3.7,Interactive,True,True,True,True
course_042,Art 243,Chemistry,Intermediate,12,4.8,Mixed,False,False,False,True
course_043,Biology 541,Art,Beginner,5,3.8,Interactive,True,True,True,True
course_044,English 287,Mathematics,Beginner,15,4.7,Video,True,True,True,True
course_045,Language Learning 127,Chemistry,Beginner,7,4.3,Video,True,True,True,True
course_046,Chemistry 578,History,Intermediate,4,4.4,Video,True,False,False,False
course_047,Physics 244,Economics,Beginner,12,4.5,Text-based,False,True,False,False
course_048,Mathematics 382,English,Advanced,4,4.7,Video,True,True,True,True
course_049,Computer Science 146,Music,Beginner,13,3.6,Video,True,True,True,False
course_050,Psychology 236,Psychology,Intermediate,5,4.9,Interactive,True,True,True,True
course_051,Chemistry 436,Psychology,Intermediate,4,4.5,Video,True,False,True,True
course_052,Language Learning 435,Economics,Beginner,14,5.0,Text-based,True,True,True,True
course_053,Mathematics 503,Chemistry,Beginner,11,4.4,Mixed,True,True,False,True
course_054,Biology 390,Mathematics,Intermediate,6,4.3,Video,False,True,True,True
course_055,Music 282,Computer Science,Beginner,15,3.5,Video,True,True,True,True
