student_id,age,education_level,study_field,learning_style,device_preference,timezone,previous_online_courses,has_learning_disability,motivation_level
student_00000,46,Undergraduate,Social Sciences,Reading/Writing,Desktop,UTC-5,1,False,Medium
student_00001,16,High School,Social Sciences,Auditory,Mobile,UTC+8,6,True,Low
student_00002,27,Graduate,STEM,Reading/Writing,Mobile,UTC-5,7,False,High
student_00003,57,Undergraduate,Arts,Visual,Desktop,UTC-8,3,False,High
student_00004,39,High School,STEM,Auditory,Tablet,UTC,8,True,High
student_00005,53,Undergraduate,Arts,Auditory,Desktop,UTC,6,False,Medium
student_00006,46,High School,Arts,Kinesthetic,Tablet,UTC-5,4,False,Medium
student_00007,40,High School,Other,Auditory,Tablet,UTC,4,False,Medium
student_00008,27,High School,STEM,Auditory,Desktop,UTC,6,True,Medium
student_00009,24,Graduate,Other,Visual,Tablet,UTC-8,6,False,High
student_00010,23,Graduate,STEM,Reading/Writing,Mobile,UTC-5,4,False,Low
student_00011,35,Graduate,Arts,Auditory,Mobile,UTC-5,2,False,Medium
student_00012,22,Undergraduate,STEM,Auditory,Mobile,UTC,3,False,Medium
student_00013,25,Undergraduate,Business,Kinesthetic,Mobile,UTC-8,3,False,Low
student_00014,51,Undergraduate,Other,Kinesthetic,Desktop,UTC-5,7,False,Medium
student_00015,50,Undergraduate,STEM,Reading/Writing,Desktop,UTC-8,2,True,High
student_00016,45,Undergraduate,Other,Auditory,Mobile,UTC-8,4,False,Medium
student_00017,25,High School,Arts,Reading/Writing,Desktop,UTC,7,False,High
student_00018,60,High School,STEM,Visual,Mobile,UTC,7,False,Medium
student_00019,21,High School,Social Sciences,Visual,Mobile,UTC-8,5,False,Medium
student_00020,54,Graduate,Other,Reading/Writing,Desktop,UTC+8,6,False,Medium
student_00021,16,Undergraduate,STEM,Auditory,Mobile,UTC-8,5,True,Medium
student_00022,63,Undergraduate,Business,Kinesthetic,Tablet,UTC-8,3,False,Low
student_00023,63,Undergraduate,Social Sciences,Kinesthetic,Desktop,UTC-8,5,True,Medium
student_00024,23,High School,Other,Kinesthetic,Mobile,UTC,3,False,Low
student_00025,37,Undergraduate,STEM,Auditory,Mobile,UTC-8,6,False,High
student_00026,37,High School,Social Sciences,Reading/Writing,Mobile,UTC,2,False,Medium
student_00027,39,High School,Arts,Kinesthetic,Mobile,UTC-5,3,True,High
student_00028,55,Undergraduate,STEM,Reading/Writing,Tablet,UTC-8,6,False,Low
student_00029,24,Professional,Other,Kinesthetic,Desktop,UTC+1,5,False,High
student_00030,51,High School,Arts,Visual,Desktop,UTC-5,4,False,Low
student_00031,64,Undergraduate,Arts,Visual,Mobile,UTC-5,6,False,Low
student_00032,55,High School,Social Sciences,Visual,Desktop,UTC,5,True,High
student_00033,22,Graduate,Business,Auditory,Mobile,UTC+8,6,False,Medium
student_00034,50,Undergraduate,Social Sciences,Visual,Tablet,UTC-5,2,False,Low
student_00035,51,Graduate,Business,Visual,Desktop,UTC-5,7,False,High
student_00036,49,Graduate,STEM,Kinesthetic,Desktop,UTC+8,4,False,Medium
student_00037,64,Undergraduate,Other,Auditory,Mobile,UTC-5,3,False,Medium
student_00038,49,Undergraduate,Social Sciences,Kinesthetic,Mobile,UTC-5,3,False,Medium
student_00039,51,Undergraduate,Other,Auditory,Mobile,UTC-5,0,False,Medium
student_00040,57,Graduate,Business,Auditory,Mobile,UTC-5,5,False,High
